Principales Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datos erroneos no confiables de Sale-U,,,,-,Sin datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion ,0.00%,0.69%,0.00%,0.00%,0.29%,1.04%,0.00%,0.44%,0.09%,0.59%,1.32%,4.46%,1.93%,2.44%,0.67%,2.49%,2.08%,1.29%,1.09%,2.22%,1.45%,2.53%,0.88%,0.65%,2.05%,1.12%,0.96%,1.35%,0.94%,0.34%,,Minima ,Optima ,Maxima ,,,,,,,,,,,,,,,,,,,,,,,,,
Aporte ,0.00%,14.29%,0.00%,0.00%,16.67%,9.52%,0.00%,35.29%,4.35%,22.73%,31.25%,34.62%,20.00%,40.00%,16.67%,26.47%,30.00%,25.00%,33.33%,39.47%,25.00%,33.33%,23.53%,15.79%,43.33%,26.83%,19.51%,25.71%,18.92%,3.03%,,6,9,12,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promedio  conversion Historico ,1.40%,Promedio Aporte Historico,25.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal ,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril ,Mayo,Junio ,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre,Enero ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efectivos ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
